Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region,Discount,Discounted Ammount,Special extra Discount from the Dealer of SUV (20%)
2022-01-02,Geraldine,Male,13500,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Auto,Black," $26,000.00 ",06457-3834,SUV,8264678,Middletown,10%,"$2,600.00",20%
2022-01-03,Gia,Male,1480000,C & M Motors Inc,Dodge,Durango,Auto,Black,19000,60504-7114,SUV,6848189,Aurora,10%,"$1,900.00",
2022-01-04,Gianna,Male,1035000,Capitol KIA,Cadillac,Eldorado,Manual,Red,31500,38701-8047,Passenger,7298798,Greenville,10%,"$3,150.00",
2022-01-05,Giselle,Male,13500,Chrysler of Tri-Cities,Toyota,Celica,Manual,Pale White,14000,99301-3882,SUV,6257557,Pasco,10%,"$1,400.00",
2022-01-06,Grace,Male,1465000,Chrysler Plymouth,Acura,TL,Auto,Red,24500,53546-9427,Hatchback,7081483,Janesville,10%,"$2,450.00",
2022-01-07,Guadalupe,Male,850000,Classic Chevy,Mitsubishi,Diamante,Manual,Pale White,12000,85257-3102,Hatchback,7315216,Scottsdale,10%,"$1,200.00",
2022-01-08,Hailey,Male,1600000,Clay Johnson Auto Sales,Toyota,Corolla,Manual,Pale White,14000,78758-7841,Passenger,7727879,Austin,10%,"$1,400.00",
2022-01-09,Graham,Male,13500,U-Haul CO,Mitsubishi,Galant,Auto,Pale White,42000,78758-7841,Passenger,6206512,Austin,10%,"$4,200.00",
2022-01-10,Naomi,Male,815000,Rabun Used Car Sales,Chevrolet,Malibu,Manual,Pale White,82000,85257-3102,Hardtop,7194857,Pasco,10%,"$8,200.00",
2022-01-11,Grayson,Female,13500,Rabun Used Car Sales,Ford,Escort,Auto,Pale White,15000,85257-3102,Passenger,7836892,Scottsdale,10%,"$1,500.00",
2022-01-12,Gregory,Male,13500,Race Car Help,Acura,RL,Manual,Pale White,31000,78758-7841,SUV,7995489,Austin,10%,"$3,100.00",
2022-01-13,Amar'E,Male,13500,Race Car Help,Nissan,Pathfinder,Auto,Pale White,46000,78758-7841,Hardtop,7288103,Pasco,10%,"$4,600.00",
2022-01-14,Griffin,Male,885000,Saab-Belle Dodge,Mercury,Grand Marquis,Auto,Black,9000,60504-7114,SUV,6842408,Aurora,10%,$900.00,
2022-01-15,Harrison,Male,13500,Scrivener Performance Engineering,BMW,323i,Auto,Pale White,15000,38701-8047,Hatchback,7558767,Greenville,10%,"$1,500.00",
2022-01-16,Zainab,Male,722000,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Manual,Pale White,26000,06457-3834,Sedan,7677191,Middletown,10%,"$2,600.00",
2022-01-17,Zara,Male,746000,C & M Motors Inc,Subaru,Forester,Manual,Pale White,17000,60504-7114,Hatchback,8431908,Aurora,10%,"$1,700.00",
2022-01-18,Zoe,Female,535000,Capitol KIA,Hyundai,Accent,Manual,Black,18000,38701-8047,Hatchback,7814646,Greenville,10%,"$1,800.00",
2022-01-19,Zoey,Female,570000,Chrysler of Tri-Cities,Cadillac,Eldorado,Auto,Pale White,31000,99301-3882,Passenger,7456650,Pasco,10%,"$3,100.00",
2022-01-20,Aaliyah,Male,685000,Chrysler Plymouth,Toyota,Land Cruiser,Auto,Pale White,33000,53546-9427,SUV,7627010,Janesville,10%,"$3,300.00",
